 Lx =    1.00000000     ; Ly =    1.00000000     ; Lz =    1.00000000    
 Nx =            5 ; Ny =            5 ; Nz =            5
 Vector            1 ; Coordinates:   0.200000003      0.300000012      0.699999988    
 Vector            2 ; Coordinates:   0.400000006      0.300000012      0.699999988    
 Vector            3 ; Coordinates:   0.300000012      0.200000003      0.699999988    
 Vector            4 ; Coordinates:   0.300000012      0.400000006      0.699999988    
 Vector            5 ; Coordinates:   0.300000012      0.300000012      0.600000024    
 Vector            6 ; Coordinates:   0.300000012      0.300000012      0.800000012    
  
 ----------------------------------------------------------------
 Element          35 ; Center Coordinates:   0.300000012      0.300000012      0.900000036    
  
 Scalar            1 ; Coordinates:   0.300000012      0.300000012      0.900000036    
 Scalar            2 ; Coordinates:   0.300000012      0.300000012       0.00000000    
  
 Vector            1 ; Coordinates:   0.200000003      0.300000012      0.900000036    
 Vector            2 ; Coordinates:   0.400000006      0.300000012      0.900000036    
 Vector            3 ; Coordinates:   0.300000012      0.200000003      0.900000036    
 Vector            4 ; Coordinates:   0.300000012      0.400000006      0.900000036    
 Vector            5 ; Coordinates:   0.300000012      0.300000012      0.800000012    
 Vector            6 ; Coordinates:   0.300000012      0.300000012       1.00000000    
  
 ----------------------------------------------------------------
 Element          36 ; Center Coordinates:   0.300000012      0.500000000      0.100000001    
  
 Scalar            1 ; Coordinates:   0.300000012      0.500000000      0.100000001    
